postcode,population,active,cases,rate,new,band,data_date,file_processed_date
3754,37758,0,173,0,0,0,30/09/2020,01/10/2020
3755,251,0,0,0,0,0,30/09/2020,01/10/2020
3756,11926,0,33,0,0,0,30/09/2020,01/10/2020
3757,8955,0,11,0,0,0,30/09/2020,01/10/2020
3758,2182,0,3,0,0,0,30/09/2020,01/10/2020
3759,1062,0,1,0,0,0,30/09/2020,01/10/2020
3760,372,0,0,0,0,0,30/09/2020,01/10/2020
3761,1230,0,2,0,0,0,30/09/2020,01/10/2020
3762,131,0,0,0,0,0,30/09/2020,01/10/2020
3763,1536,0,4,0,0,0,30/09/2020,01/10/2020
3764,9161,0,19,0,0,0,30/09/2020,01/10/2020
3765,6764,0,13,0,0,0,30/09/2020,01/10/2020
3766,1240,0,1,0,0,0,30/09/2020,01/10/2020
3767,1253,0,2,0,0,0,30/09/2020,01/10/2020
