,Year,Year ending,Police Region,Suburb,Incidents Recorded,"Rate per 100,000 population"
152,2019,March,4 Western, Hindmarsh,251 ,"4,491.8 "
153,2019,March,4 Western, Horsham,"1,437 ","7,213.5 "
154,2019,March,4 Western, Loddon,386 ,"5,143.9 "
155,2019,March,4 Western, Macedon Ranges,"1,784 ","3,551.6 "
156,2019,March,4 Western, Mildura,"5,497 ","9,855.3 "
157,2019,March,4 Western, Moorabool,"1,633 ","4,659.2 "
158,2019,March,4 Western, Mount Alexander,751 ,"3,801.8 "
159,2019,March,4 Western, Moyne,459 ,"2,707.5 "
160,2019,March,4 Western, Northern Grampians,762 ,"6,683.0 "
161,2019,March,4 Western, Pyrenees,419 ,"5,607.6 "
162,2019,March,4 Western, Queenscliffe,118 ,"4,013.6 "
163,2019,March,4 Western, Southern Grampians,"1,109 ","6,888.2 "
164,2019,March,4 Western, Surf Coast,900 ,"2,690.1 "
165,2019,March,4 Western, Swan Hill,"1,869 ","9,051.3 "
166,2019,March,4 Western, Warrnambool,"3,009 ","8,552.9 "
167,2019,March,4 Western, West Wimmera,125 ,"3,254.4 "
168,2019,March,4 Western, Yarriambiack,320 ,"4,820.0 "
169,2019,March,4 Western,Total,"62,285 ","6,159.6 "
170,2019,March,Justice Institutions and Immigration Facilities, Justice Institutions and Immigration Facilities,"1,482 ",
171,2019,March,Justice Institutions and Immigration Facilities,Total,"1,482 ",
172,2019,March,Unincorporated Vic, Unincorporated Vic,95 ,
173,2019,March,Unincorporated Vic,Total,95 ,
174,2018,March,1 North West Metro, Banyule,"7,371 ","5,659.1 "
175,2018,March,1 North West Metro, Brimbank,"13,552 ","6,492.2 "
176,2018,March,1 North West Metro, Darebin,"11,424 ","7,067.0 "
177,2018,March,1 North West Metro, Hobsons Bay,"4,830 ","5,006.2 "
178,2018,March,1 North West Metro, Hume,"15,267 ","6,802.8 "
179,2018,March,1 North West Metro, Maribyrnong,"6,585 ","7,203.6 "
180,2018,March,1 North West Metro, Melbourne,"26,834 ","15,755.3 "
181,2018,March,1 North West Metro, Melton,"7,804 ","4,979.6 "
182,2018,March,1 North West Metro, Moonee Valley,"6,691 ","5,231.2 "
183,2018,March,1 North West Metro, Moreland,"11,022 ","6,063.4 "
184,2018,March,1 North West Metro, Nillumbik,"1,795 ","2,764.0 "
185,2018,March,1 North West Metro, Whittlesea,"11,341 ","5,077.7 "
186,2018,March,1 North West Metro, Wyndham,"10,864 ","4,254.3 "
187,2018,March,1 North West Metro, Yarra,"10,648 ","10,802.8 "
188,2018,March,1 North West Metro,Total,"146,028 ","6,662.1 "
189,2018,March,2 Eastern, Alpine,319 ,"2,505.9 "
190,2018,March,2 Eastern, Bass Coast,"1,799 ","5,092.6 "
191,2018,March,2 Eastern, Baw Baw,"2,929 ","5,631.4 "
192,2018,March,2 Eastern, Benalla,979 ,"6,981.4 "
193,2018,March,2 Eastern, Boroondara,"5,631 ","3,104.6 "
194,2018,March,2 Eastern, East Gippsland,"3,057 ","6,529.8 "
195,2018,March,2 Eastern, Greater Shepparton,"5,980 ","9,059.5 "
196,2018,March,2 Eastern, Indigo,339 ,"2,055.9 "
197,2018,March,2 Eastern, Knox,"8,518 ","5,219.0 "
198,2018,March,2 Eastern, Latrobe,"9,377 ","12,467.9 "
199,2018,March,2 Eastern, Manningham,"3,660 ","2,915.5 "
200,2018,March,2 Eastern, Mansfield,453 ,"5,045.1 "
201,2018,March,2 Eastern, Maroondah,"5,880 ","5,004.0 "
202,2018,March,2 Eastern, Mitchell,"3,041 ","6,864.9 "
203,2018,March,2 Eastern, Moira,"1,504 ","5,047.5 "
204,2018,March,2 Eastern, Monash,"8,299 ","4,145.1 "
205,2018,March,2 Eastern, Murrindindi,532 ,"3,674.5 "
206,2018,March,2 Eastern, South Gippsland,"1,006 ","3,401.5 "
207,2018,March,2 Eastern, Strathbogie,438 ,"4,115.0 "
208,2018,March,2 Eastern, Towong,171 ,"2,824.6 "
209,2018,March,2 Eastern, Wangaratta,"1,799 ","6,185.1 "
210,2018,March,2 Eastern, Wellington,"2,658 ","6,038.6 "
211,2018,March,2 Eastern, Whitehorse,"6,497 ","3,685.8 "
212,2018,March,2 Eastern, Wodonga,"2,370 ","5,720.6 "
213,2018,March,2 Eastern, Yarra Ranges,"5,516 ","3,487.4 "
214,2018,March,2 Eastern,Total,"82,752 ","4,869.9 "
215,2018,March,3 Southern Metro, Bayside,"3,898 ","3,686.2 "
216,2018,March,3 Southern Metro, Cardinia,"4,273 ","3,989.1 "
217,2018,March,3 Southern Metro, Casey,"14,746 ","4,331.4 "
218,2018,March,3 Southern Metro, Frankston,"10,724 ","7,560.3 "
219,2018,March,3 Southern Metro, Glen Eira,"5,233 ","3,399.8 "
220,2018,March,3 Southern Metro, Greater Dandenong,"13,627 ","8,202.1 "
221,2018,March,3 Southern Metro, Kingston,"7,907 ","4,837.5 "
222,2018,March,3 Southern Metro, Mornington Peninsula,"8,520 ","5,138.0 "
223,2018,March,3 Southern Metro, Port Phillip,"9,798 ","8,650.5 "
224,2018,March,3 Southern Metro, Stonnington,"8,007 ","6,885.9 "
225,2018,March,3 Southern Metro,Total,"86,733 ","5,510.2 "
226,2018,March,4 Western, Ararat,884 ,"7,494.7 "
227,2018,March,4 Western, Ballarat,"8,901 ","8,293.6 "
228,2018,March,4 Western, Buloke,168 ,"2,717.1 "
229,2018,March,4 Western, Campaspe,"2,511 ","6,680.0 "
230,2018,March,4 Western, Central Goldfields,907 ,"6,867.1 "
231,2018,March,4 Western, Colac-Otway,"1,242 ","5,776.2 "
232,2018,March,4 Western, Corangamite,621 ,"3,847.8 "
233,2018,March,4 Western, Gannawarra,417 ,"3,954.1 "
234,2018,March,4 Western, Glenelg,"1,196 ","6,082.2 "
235,2018,March,4 Western, Golden Plains,481 ,"2,080.6 "
236,2018,March,4 Western, Greater Bendigo,"7,089 ","6,109.0 "
237,2018,March,4 Western, Greater Geelong,"16,866 ","6,686.8 "
238,2018,March,4 Western, Hepburn,639 ,"4,041.2 "
239,2018,March,4 Western, Hindmarsh,253 ,"4,482.6 "
240,2018,March,4 Western, Horsham,"1,637 ","8,236.9 "
241,2018,March,4 Western, Loddon,317 ,"4,219.4 "
242,2018,March,4 Western, Macedon Ranges,"1,523 ","3,083.8 "
243,2018,March,4 Western, Mildura,"4,823 ","8,687.6 "
244,2018,March,4 Western, Moorabool,"1,823 ","5,337.3 "
245,2018,March,4 Western, Mount Alexander,733 ,"3,756.3 "
246,2018,March,4 Western, Moyne,464 ,"2,747.7 "
247,2018,March,4 Western, Northern Grampians,802 ,"7,016.6 "
248,2018,March,4 Western, Pyrenees,307 ,"4,175.2 "
249,2018,March,4 Western, Queenscliffe,108 ,"3,621.7 "
250,2018,March,4 Western, Southern Grampians,"1,004 ","6,222.9 "
251,2018,March,4 Western, Surf Coast,952 ,"2,951.8 "
252,2018,March,4 Western, Swan Hill,"1,752 ","8,439.3 "
253,2018,March,4 Western, Warrnambool,"2,707 ","7,764.7 "
254,2018,March,4 Western, West Wimmera,114 ,"2,951.8 "
255,2018,March,4 Western, Yarriambiack,358 ,"5,377.0 "
256,2018,March,4 Western,Total,"61,599 ","6,185.0 "
257,2018,March,Justice Institutions and Immigration Facilities, Justice Institutions and Immigration Facilities,"1,474 ",
258,2018,March,Justice Institutions and Immigration Facilities,Total,"1,474 ",
259,2018,March,Unincorporated Vic, Unincorporated Vic,117 ,
260,2018,March,Unincorporated Vic,Total,117 ,
261,2017,March,1 North West Metro, Banyule,"7,447 ","5,767.7 "
262,2017,March,1 North West Metro, Brimbank,"14,672 ","7,088.0 "
263,2017,March,1 North West Metro, Darebin,"13,201 ","8,315.5 "
264,2017,March,1 North West Metro, Hobsons Bay,"5,229 ","5,500.1 "
265,2017,March,1 North West Metro, Hume,"17,031 ","7,912.6 "
266,2017,March,1 North West Metro, Maribyrnong,"7,193 ","8,049.3 "
267,2017,March,1 North West Metro, Melbourne,"28,096 ","17,654.8 "
268,2017,March,1 North West Metro, Melton,"8,968 ","6,034.3 "
269,2017,March,1 North West Metro, Moonee Valley,"7,758 ","6,186.1 "
270,2017,March,1 North West Metro, Moreland,"11,803 ","6,669.3 "
271,2017,March,1 North West Metro, Nillumbik,"2,171 ","3,359.7 "
272,2017,March,1 North West Metro, Whittlesea,"12,871 ","5,967.5 "
273,2017,March,1 North West Metro, Wyndham,"11,967 ","4,964.1 "
274,2017,March,1 North West Metro, Yarra,"11,310 ","11,782.0 "
275,2017,March,1 North West Metro,Total,"159,717 ","7,526.6 "
276,2017,March,2 Eastern, Alpine,280 ,"2,215.5 "
277,2017,March,2 Eastern, Bass Coast,"1,986 ","5,775.6 "
278,2017,March,2 Eastern, Baw Baw,"2,894 ","5,710.8 "
279,2017,March,2 Eastern, Benalla,"1,001 ","7,163.3 "
280,2017,March,2 Eastern, Boroondara,"7,004 ","3,898.1 "
281,2017,March,2 Eastern, East Gippsland,"2,952 ","6,398.5 "
