,postcode,Postal_Town,population,active,cases,rate,data_date
1667,3637,WAAIA,593.0,0,0,0.0,30/09/2020
1668,3638,NATHALIA,2075.0,0,2,0.0,30/09/2020
1669,3638,NATHALIA,2075.0,0,2,0.0,30/09/2020
1670,3638,NATHALIA,2075.0,0,2,0.0,30/09/2020
1671,3638,NATHALIA,2075.0,0,2,0.0,30/09/2020
1672,3640,KATUNGA,1000.0,0,0,0.0,30/09/2020
1673,3640,KATUNGA,1000.0,0,0,0.0,30/09/2020
1674,3641,STRATHMERTON,1233.0,0,0,0.0,30/09/2020
1675,3644,COBRAM,0.0,0,2,0.0,30/09/2020
1676,3644,COBRAM,0.0,0,2,0.0,30/09/2020
1677,3644,COBRAM,0.0,0,2,0.0,30/09/2020
1678,3644,COBRAM,0.0,0,2,0.0,30/09/2020
1679,3644,COBRAM,0.0,0,2,0.0,30/09/2020
1680,3646,DOOKIE,586.0,0,0,0.0,30/09/2020
1681,3647,Dookie Campus,40.0,0,0,0.0,30/09/2020
1682,3649,Katamatite,431.0,0,0,0.0,30/09/2020
1683,3658,BROADFORD,6221.0,0,8,0.0,30/09/2020
1684,3658,BROADFORD,6221.0,0,8,0.0,30/09/2020
1685,3659,TALLAROOK,734.0,0,3,0.0,30/09/2020
1686,3660,SEYMOUR,7577.0,0,2,0.0,30/09/2020
1687,3662,PUCKAPUNYAL,1075.0,0,0,0.0,30/09/2020
1688,3664,AVENEL,1072.0,0,0,0.0,30/09/2020
1689,3665,LONGWOOD,357.0,0,0,0.0,30/09/2020
1690,3666,EUROA,4700.0,0,1,0.0,30/09/2020
1691,3666,EUROA,4700.0,0,1,0.0,30/09/2020
1692,3666,EUROA,4700.0,0,1,0.0,30/09/2020
1693,3669,VIOLET TOWN,1337.0,0,0,0.0,30/09/2020
1694,3672,Benalla,10330.0,0,3,0.0,30/09/2020
1695,3672,BENALLA,10330.0,0,3,0.0,30/09/2020
1696,3672,BENALLA,10330.0,0,3,0.0,30/09/2020
1697,3672,BENALLA,10330.0,0,3,0.0,30/09/2020
1698,3672,BENALLA,10330.0,0,3,0.0,30/09/2020
1699,3673,Broken Creek,1729.0,0,0,0.0,30/09/2020
1700,3673,WINTON,1729.0,0,0,0.0,30/09/2020
1701,3675,GLENROWAN,1803.0,0,0,0.0,30/09/2020
1702,3675,GRETA SOUTH,1803.0,0,0,0.0,30/09/2020
1703,3677,WANGARATTA,18101.0,0,2,0.0,30/09/2020
1704,3677,WANGARATTA,18101.0,0,2,0.0,30/09/2020
1705,3678,MILAWA,6357.0,0,0,0.0,30/09/2020
1706,3678,Oxley,6357.0,0,0,0.0,30/09/2020
1707,3678,EDI UPPER,6357.0,0,0,0.0,30/09/2020
1708,3678,Londrigan via Wangaratta,6357.0,0,0,0.0,30/09/2020
1709,3678,Everton,6357.0,0,0,0.0,30/09/2020
1710,3682,SPRINGHURST,616.0,0,0,0.0,30/09/2020
1711,3683,CHILTERN,1760.0,0,0,0.0,30/09/2020
1712,3683,CHILTERN,1760.0,0,0,0.0,30/09/2020
1713,3685,RUTHERGLEN,2718.0,0,1,0.0,30/09/2020
1714,3685,RUTHERGLEN,2718.0,0,1,0.0,30/09/2020
1715,3685,RUTHERGLEN,2718.0,0,1,0.0,30/09/2020
1716,3687,WAHGUNYAH,1098.0,0,0,0.0,30/09/2020
1717,3688,Indigo Valley,1237.0,0,0,0.0,30/09/2020
1718,3688,BARNAWARTHA,1237.0,0,0,0.0,30/09/2020
1719,3690,WODONGA,33522.0,0,1,0.0,30/09/2020
1720,3690,WEST WODONGA,33522.0,0,1,0.0,30/09/2020
1721,3690,WEST WODONGA,33522.0,0,1,0.0,30/09/2020
1722,3690,WODONGA,33522.0,0,1,0.0,30/09/2020
1723,3690,WODONGA,33522.0,0,1,0.0,30/09/2020
1724,3690,WODONGA WEST,33522.0,0,1,0.0,30/09/2020
1725,3691,OSBORNES FLAT,0.0,0,1,0.0,30/09/2020
1726,3691,DEDERANG,0.0,0,1,0.0,30/09/2020
1727,3691,BETHANGA,0.0,0,1,0.0,30/09/2020
1728,3691,TALGARNO,0.0,0,1,0.0,30/09/2020
1729,3691,BARANDUDA,0.0,0,1,0.0,30/09/2020
1730,3691,TANGAMBALANGA,0.0,0,1,0.0,30/09/2020
1731,3691,LENEVA,0.0,0,1,0.0,30/09/2020
1732,3694,BANDIANA MILPO,92.0,0,0,0.0,30/09/2020
1733,3695,HUON,472.0,0,0,0.0,30/09/2020
1734,3697,TAWONGA,575.0,0,0,0.0,30/09/2020
1735,3699,MOUNT BEAUTY,1124.0,0,0,0.0,30/09/2020
1736,3699,Falls Creek,1124.0,0,0,0.0,30/09/2020
1737,3699,MOUNT BEAUTY,1124.0,0,0,0.0,30/09/2020
1738,3700,TALLANGATTA,1317.0,0,0,0.0,30/09/2020
1739,3700,TALLANGATTA,1317.0,0,0,0.0,30/09/2020
1740,3700,TALLANGATTA,1317.0,0,0,0.0,30/09/2020
1741,3701,MITTA MITTA,1075.0,0,0,0.0,30/09/2020
1742,3701,ESKDALE,1075.0,0,0,0.0,30/09/2020
1743,3709,WALWA,295.0,0,0,0.0,30/09/2020
1744,3711,Buxton,493.0,0,0,0.0,30/09/2020
1745,3713,EILDON,1026.0,0,0,0.0,30/09/2020
1746,3714,ALEXANDRA,3512.0,0,0,0.0,30/09/2020
1747,3714,ALEXANDRA,3512.0,0,0,0.0,30/09/2020
1748,3714,ALEXANDRA,3512.0,0,0,0.0,30/09/2020
1749,3717,YEA,2654.0,0,3,0.0,30/09/2020
1750,3717,FLOWERDALE,2654.0,0,3,0.0,30/09/2020
1751,3717,YEA,2654.0,0,3,0.0,30/09/2020
1752,3717,YEA,2654.0,0,3,0.0,30/09/2020
1753,3723,JAMIESON,3003.0,0,5,0.0,30/09/2020
1754,3723,Merrijig,3003.0,0,5,0.0,30/09/2020
1755,3726,DEVENISH,404.0,0,0,0.0,30/09/2020
1756,3726,THOONA,404.0,0,0,0.0,30/09/2020
1757,3728,TUNGAMAH,635.0,0,0,0.0,30/09/2020
1758,3730,Yarrawonga,8831.0,0,4,0.0,30/09/2020
1759,3730,YARRAWONGA,8831.0,0,4,0.0,30/09/2020
1760,3730,YARRAWONGA,8831.0,0,4,0.0,30/09/2020
1761,3732,MOYHU,595.0,0,0,0.0,30/09/2020
1762,3732,Myrrhee,595.0,0,0,0.0,30/09/2020
1763,3733,WHITFIELD,219.0,0,0,0.0,30/09/2020
1764,3735,WHOROULY,609.0,0,0,0.0,30/09/2020
1765,3737,MYRTLEFORD,4302.0,0,0,0.0,30/09/2020
1766,3737,MYRTLEFORD,4302.0,0,0,0.0,30/09/2020
1767,3740,POREPUNKAH,1075.0,0,0,0.0,30/09/2020
1768,3741,BRIGHT,3098.0,0,1,0.0,30/09/2020
1769,3741,BRIGHT,3098.0,0,1,0.0,30/09/2020
1770,3741,HARRIETVILLE,3098.0,0,1,0.0,30/09/2020
1771,3747,Beechworth,4628.0,0,0,0.0,30/09/2020
1772,3747,BEECHWORTH,4628.0,0,0,0.0,30/09/2020
1773,3747,Beechworth,4628.0,0,0,0.0,30/09/2020
1774,3747,BEECHWORTH,4628.0,0,0,0.0,30/09/2020
1775,3747,BEECHWORTH,4628.0,0,0,0.0,30/09/2020
1776,3749,YACKANDANDAH,1889.0,0,0,0.0,30/09/2020
1777,3750,Wollert,9060.0,0,143,0.0,30/09/2020
1778,3750,WOLLERT,9060.0,0,143,0.0,30/09/2020
1779,3752,SOUTH MORANG,24057.0,1,114,4.2,30/09/2020
1780,3752,South Morang,24057.0,1,114,4.2,30/09/2020
1781,3752,SOUTH MORANG,24057.0,1,114,4.2,30/09/2020
1782,3753,BEVERIDGE,2328.0,0,17,0.0,30/09/2020
1783,3754,MERNDA,37758.0,0,173,0.0,30/09/2020
1784,3754,DOREEN,37758.0,0,173,0.0,30/09/2020
1785,3754,Doreen,37758.0,0,173,0.0,30/09/2020
1786,3754,Mernda,37758.0,0,173,0.0,30/09/2020
1787,3754,Doreen,37758.0,0,173,0.0,30/09/2020
1788,3754,Doreen,37758.0,0,173,0.0,30/09/2020
1789,3754,Mernda,37758.0,0,173,0.0,30/09/2020
1790,3754,DOREEN,37758.0,0,173,0.0,30/09/2020
1791,3754,MERNDA,37758.0,0,173,0.0,30/09/2020
1792,3754,DOREEN,37758.0,0,173,0.0,30/09/2020
1793,3756,WALLAN,11926.0,0,33,0.0,30/09/2020
1794,3756,DARRAWEIT GUIM,11926.0,0,33,0.0,30/09/2020
1795,3756,Wallan,11926.0,0,33,0.0,30/09/2020
1796,3756,Wallan,11926.0,0,33,0.0,30/09/2020
1797,3757,WHITTLESEA,8955.0,0,11,0.0,30/09/2020
1798,3757,KINGLAKE WEST,8955.0,0,11,0.0,30/09/2020
1799,3757,KINGLAKE CENTRAL,8955.0,0,11,0.0,30/09/2020
1800,3757,WHITTLESEA,8955.0,0,11,0.0,30/09/2020
1801,3757,WHITTLESEA,8955.0,0,11,0.0,30/09/2020
1802,3758,WANDONG,2182.0,0,3,0.0,30/09/2020
1803,3759,PANTON HILL,1062.0,0,1,0.0,30/09/2020
1804,3761,ST ANDREWS,1230.0,0,2,0.0,30/09/2020
1805,3763,KINGLAKE,1536.0,0,4,0.0,30/09/2020
1806,3764,KILMORE,9161.0,0,19,0.0,30/09/2020
1807,3764,WILLOWMAVIN,9161.0,0,19,0.0,30/09/2020
1808,3764,KILMORE,9161.0,0,19,0.0,30/09/2020
1809,3764,KILMORE,9161.0,0,19,0.0,30/09/2020
1810,3764,KILMORE,9161.0,0,19,0.0,30/09/2020
1811,3764,KILMORE,9161.0,0,19,0.0,30/09/2020
1812,3765,MONTROSE,6764.0,0,13,0.0,30/09/2020
1813,3765,MONTROSE,6764.0,0,13,0.0,30/09/2020
1814,3766,KALORAMA,1240.0,0,1,0.0,30/09/2020
1815,3770,Coldstream,3222.0,0,2,0.0,30/09/2020
1816,3770,COLDSTREAM,3222.0,0,2,0.0,30/09/2020
1817,3770,Coldstream,3222.0,0,2,0.0,30/09/2020
1818,3775,Yarra Glen,3865.0,1,6,25.9,30/09/2020
1819,3775,CHRISTMAS HILLS,3865.0,1,6,25.9,30/09/2020
1820,3775,DIXONS CREEK,3865.0,1,6,25.9,30/09/2020
1821,3777,HEALESVILLE,10753.0,0,9,0.0,30/09/2020
1822,3777,TOOLANGI,10753.0,0,9,0.0,30/09/2020
1823,3777,CHUM CREEK,10753.0,0,9,0.0,30/09/2020
1824,3777,HEALESVILLE,10753.0,0,9,0.0,30/09/2020
1825,3777,HEALESVILLE,10753.0,0,9,0.0,30/09/2020
1826,3777,HEALESVILLE,10753.0,0,9,0.0,30/09/2020
1827,3777,HEALESVILLE,10753.0,0,9,0.0,30/09/2020
1828,3779,MARYSVILLE,394.0,0,0,0.0,30/09/2020
1829,3781,Cockatoo,4471.0,0,2,0.0,30/09/2020
1830,3781,COCKATOO,4471.0,0,2,0.0,30/09/2020
1831,3782,Emerald,7824.0,0,2,0.0,30/09/2020
1832,3782,Macclesfield,7824.0,0,2,0.0,30/09/2020
1833,3782,EMERALD,7824.0,0,2,0.0,30/09/2020
1834,3782,EMERALD,7824.0,0,2,0.0,30/09/2020
1835,3783,Gembrook,2350.0,0,3,0.0,30/09/2020
1836,3786,Ferny Creek,1520.0,0,2,0.0,30/09/2020
1837,3787,SASSAFRAS,1059.0,0,0,0.0,30/09/2020
1838,3787,SASSAFRAS,1059.0,0,0,0.0,30/09/2020
1839,3788,Olinda,1742.0,0,0,0.0,30/09/2020
1840,3791,Kallista,1440.0,0,1,0.0,30/09/2020
1841,3792,THE PATCH,1064.0,0,0,0.0,30/09/2020
1842,3792,THE PATCH,1064.0,0,0,0.0,30/09/2020
1843,3793,MONBULK,3575.0,0,1,0.0,30/09/2020
