Suburb,Postcode,LGA_ID,LGA_Name
Beverford,3590,661,Swan
Niddrie,3042,506,Moonee
Toolern Vale,3337,465,Melton
Box Hill South,3128,698,Whitehorse
Meeniyan,3956,617,South
Bayles,3981,145,Cardinia
Dalyston,3992,74,Bass
Waverley Gardens,3170,497,Monash
Oakleigh East,3166,497,Monash
Edenhope,3318,689,West
Murrayville,3512,478,Mildura
Hawkesdale,3287,549,Moyne
Yallambie,3085,66,Banyule
Woorinen South,3588,661,Swan
Smythesdale,3351,249,Golden
Gormandale,3873,681,Wellington
Somerton,3062,327,Hume
Newcomb,3219,275,Greater
Nyah West,3595,661,Swan
Narre Warren South,3805,161,Casey
Cranbourne East,3977,161,Casey
Hillside,3037,465,Melton
Lynbrook,3975,161,Casey
Doreen,3754,707,Whittlesea
Tarneit,3029,726,Wyndham
Caroline Springs,3023,465,Melton
Truganina,3029,726,Wyndham
Burnside,3023,465,Melton
Lyndhurst,3975,161,Casey
Keysborough,3173,267,Greater
Springvale South,3172,267,Greater
Nth Bendigo,3550,262,Greater
Wyndham Vale,3024,726,Wyndham
Jacana,3047,327,Hume
Clyde North,3978,161,Casey
Southbank,3006,590,Port
Cranbourne West,3977,161,Casey
Armstrong Creek,3217,275,Greater
Aireys Inlet,3231,649,Surf
Colac,3249,175,Colac-Otway
Apollo Bay,3233,175,Colac-Otway
Boisdale,3860,681,Wellington
Cohuna,3568,225,Gannawarra
Dunkeld,3294,626,Southern
Dingee,3571,394,Loddon
Foster,3960,617,South
Goroke,3412,689,West
Heywood,3304,241,Glenelg
Tangambalanga,3691,335,Indigo
Lavers Hill,3238,175,Colac-Otway
Lockington,3563,137,Campaspe
Manangatang,3546,661,Swan
Terang,3264,183,Corangamite
Merino,3310,241,Glenelg
Rushworth,3612,137,Campaspe
Macleod,3085,66,Banyule
Poowong,3988,617,South
Port Fairy,3284,549,Moyne
Red Hill,3937,534,Mornington
Tongala,3621,137,Campaspe
Werrimull,3496,478,Mildura
Camperdown,3260,183,Corangamite
Timboon,3268,183,Corangamite
Wedderburn,3518,394,Loddon
Mont Albert North,3129,698,Whitehorse
Wollert,3750,707,Whittlesea
Northland,3072,189,Darebin
Southbank,3006,460,Melbourne
Box Hill,3128,698,Whitehorse
East Geelong,3219,275,Greater
Flemington,3031,460,Melbourne
Kyabram,3619,137,Campaspe
Lorne P-12 College,3232,649,Surf
Maribyrnong,3032,433,Maribyrnong
South Yarra,3141,635,Stonnington
Mckinnon,3204,231,Glen
Melbourne,3004,590,Port
Ouyen,3490,478,Mildura
Princes Hill,3054,735,Yarra
Rainbow,3424,298,Hindmarsh
Robinvale,3549,661,Swan
Brunswick,3056,525,Moreland
Parkville,3052,460,Melbourne
Somerton Bc Somerton,3062,327,Hume
Ballarat East,3354,57,Ballarat
Caulfield East,3145,231,Glen
Morwell Bc,3841,381,Latrobe
Collingwood,3066,735,Yarra
Fraser Rise,3336,465,Melton
Frankston North,3200,217,Frankston
Charlton,3525,127,Buloke
Wycheproof,3527,127,Buloke
Birchip,3483,127,Buloke
Nhill,3418,298,Hindmarsh
Robinson,3019,433,Maribyrnong
Kaniva,3419,689,West
Corryong,3707,667,Towong
Maryborough,3465,167,Central
Monash University,3800,497,Monash
Balmoral,3407,626,Southern
Myrtleford,3736,11,Alpine
Boort,3537,394,Loddon
Yarrawonga,3730,490,Moira
Seymour,3661,485,Mitchell
Merbein,3505,478,Mildura
Macleod West,3085,189,Darebin
St. Albans,3021,118,Brimbank
Swifts Creek,3896,211,East
Corio,3214,275,Greater
Hopetoun,3396,763,Yarriambiack
Doveton,3177,161,Casey
Benalla,3672,101,Benalla
Melbourne,3004,460,Melbourne
Glen Iris,3146,635,Stonnington
West Melbourne,3003,460,Melbourne
Ballarat West,3350,57,Ballarat
Ballarat East,3350,57,Ballarat
Elsternwick,3185,231,Glen
Wangaratta,3677,670,Wangaratta
St Kilda East,3183,590,Port
Bendigo,3550,262,Greater
Morwell,3841,381,Latrobe
Seymour,3660,485,Mitchell
Tarrington,3301,626,Southern
Dunnstown,3352,515,Moorabool
Echuca West,3564,137,Campaspe
Portland South,3305,241,Glenelg
Kyabram,3620,137,Campaspe
Quarry Hill,3550,262,Greater
Brunswick North,3056,525,Moreland
Werribee,3030,311,Hobsons
Alphington,3078,189,Darebin
Mt Eliza,3930,534,Mornington
Coragulac,3249,175,Colac-Otway
Dennington,3280,673,Warrnambool
Caulfield,3161,231,Glen
Prahran East,3181,635,Stonnington
Myrtleford,3737,11,Alpine
Deepdene/Balwyn,3103,111,Boroondara
Sale,3853,681,Wellington
Camberwell East,3124,111,Boroondara
Preston West,3072,189,Darebin
Preston East,3073,189,Darebin
Coburg East,3058,525,Moreland
Clarkes Hill,3352,515,Moorabool
Chadstone,3148,497,Monash
Ivanhoe North,3079,66,Banyule
Highett,3190,91,Bayside
Nunawading,3131,698,Whitehorse
Thornbury East,3071,189,Darebin
Heidelberg West,3081,66,Banyule
Herne Hill,3218,275,Greater
Kennington,3550,262,Greater
Shepparton South,3630,283,Greater
Morwell East,3840,381,Latrobe
Reservoir East,3073,189,Darebin
Aberfeldie,3040,506,Moonee
Bennettswood,3125,698,Whitehorse
Parkdale East,3195,343,Kingston
Fawkner North,3060,525,Moreland
Belgrave,3160,745,Yarra
Warrnambool West,3280,673,Warrnambool
Airport West,3042,506,Moonee
Eliminyt,3250,175,Colac-Otway
Balwyn,3101,111,Boroondara
Hadfield,3046,525,Moreland
Frankston East,3199,217,Frankston
Warrnambool East,3280,673,Warrnambool
Wodonga West,3690,717,Wodonga
Bendigo North,3550,262,Greater
Dingley,3172,343,Kingston
Darling South,3145,635,Stonnington
St Albans South,3021,118,Brimbank
Thomastown East,3074,707,Whittlesea
Taylors Hill,3037,465,Melton
Thomastown West,3074,707,Whittlesea
Kealba,3021,118,Brimbank
Reservoir North,3073,189,Darebin
